,Organisation,NGO Listing Page,Classified Category,Registration ID,Year of Foundation,Address,Telephone,Mobile,Email,Website,Twitter,Facebook,Description,Activities,Name in Myanmese,Further Links
10,Myanmar Orphans Support Network,https://ngo.mycitizen.net/directory/listing/myanmar-orphans-support-network,Children/Psychosocial Services,NA,2009,"255 Aung Thit Sar Street, Yangon, Yangon Region, Republic of the Union of Myanmar",+959421137052,NA,NA,NA,NA,https://www.facebook.com/groups/88745803980/,"This network is founded by youth people who live in Myanmar (Burma). We are supporting orphans and poor child from our country. We will also do others motivation activities for orphans. You are welcome to join our group and help the children.Our VisionSupporting the vulnerable children, including orphans for building the sustainable development of the country.Our MissionTo help and support the orphans in terms of education, health care, nutrition and other social welfare.",What we do?Supporting the orphansEducating the orphansEmpowering the orphansVocational and psychological training for the orphansLife Skill training What are our regular programs?Psycho-social Support ProgramHealth Care ProgramDental Care ProgramPersonal Hygiene Program Knowledge Sharing Program for volunteersEnvironmental Education Program,NA,NA
11,Myanmar Youth Network,https://ngo.mycitizen.net/directory/listing/myanmar-youth-network,Capacity Building/Children,NA,NA,"Yangon, Yangon Region, Republic of the Union of Myanmar",NA,"+ 95 (0) 9 5087234, + 95 (0) 9 5044120",NA,NA,NA,https://www.facebook.com/MyanmarYouthNetwork,"Youth-led civil society organization for youth mobilization and advocacy to initiate strong civil society and voice the Myanmar youth concerns in the international community.Vision:Educating and instilling young people in modern thoughts to work towards the welfare of the world by contributing peace, justice, harmony and loving kindness.Mission:Young people with sincerity, cooperation, cohesion and perseverance shall create a peaceful, harmonious and beautiful world.Objectives:The general objectives stated in the legal basis of the Myanmar Youth Network are to:Promote tolerance and mutual understanding among young people.Foster candid cooperation habit among young people.Encourage young people to energetically participate in social works.Train and develop young people in becoming effective leaders in our society.Educate young people to keep abreast of the world.",workshops,NA,NA
12,Pandita Development Institute (PDI),https://ngo.mycitizen.net/directory/listing/pandita-development-institute-pdi,Democracy Promotion,NA,2011,"93, Seikkanthar Street, Kyauktada, Yangon, Yangon Region",+95 (0) 9 250 587 279,+95 9 508 7234,info@pandita.asia,http://www.pandita.asia,http://twitter.com/PDI_ORG,https://www.facebook.com/PanditaDevelopmentInstitute/,"Pandita Development Institute (PDI) is a civil society organization, which is to promote the citizen participation and practice democratic principles in the society.MissionTo build a democratic nation in which sustainable development is embedded by the active citizens and mission is community leaders with sincerity, collaboration, perseverance and cohesion shall create the peaceful, harmonious and democratic country.",see http://www.pandita.asia/?q=globalization,ပဏ္ဍိတဖွံ့ဖြိုးရေးအင်စတီကျု,https://www.youtube.com/user/PDICHANNEL
13,Karen Women Organisation (KWO),https://ngo.mycitizen.net/directory/listing/karen-women-organisation-kwo,Women,NA,1949,"P.O. Box 19, Mae Sariang, Mae Hong Song Province 58110, Thailand",(66) 053-681-084,NA,kwocentral@gmail.com,http://karenwomen.org,NA,NA,"To assist women in the endeavour to be free from all forms of oppression.To promote and empower women in all spheres of life, including education and general living standards.To encourage women to participate in the struggle for freedom, democracy and equality.To develop women’s knowledge, ability and skills, including political and organisational skills.To achieve the rights of women and equal status with men.To promote and maintain Karen culture and traditions.To improve the well being of women and children and to increase their access to adequate health, education and welfare service",see http://karenwomen.org/kwo-every-2-year-reports/,NA,NA
14,Karenni National Women's Organization,https://ngo.mycitizen.net/directory/listing/karenni-national-womens-organization,Women/Children/Capacity Building/Advocacy,NA,1993,"P.O. Box 31 , Mae Hong Son 58000, Thailand",NA,+660806738315,knwocent@gmail.com,http://karenniwomen.org,NA,NA,"To empower Karenni women to play a leadership roleTo organize education, income generation and other projects for the benefit of the entire Karenni refugee populationTo increase international awareness of the Karenni situationTo promote gender equality and fight all forms of discriminationTo preserve the customs, literature and languages of the Karenni peopleTo promote and advocate for women and child rightsTo take care of women who are affected by violence","Capacity BuildingChild DevelopmentWomen and Children ProtectionVocational DevelopmentDocumentation, Research and Advocacy",NA,NA
15,Palaung Women's Organization,https://ngo.mycitizen.net/directory/listing/palaung-womens-organization,Women,NA,NA,"P.O. Box 98 Mae Sot, Tak 63110, Thailand",+66 (0) 55-546-60,NA,pwotaang@gmail.com,http://eng.palaungwomen.com/,NA,NA,"We are Palaung women who will advocate and advance the statues of women in field of development and working forwards achieving gender equality, justice, peace and democratic society.",PROJECTS AND PROGRAMSWomen’s Political Development ProgramYoung Women’s Capacity Building TrainingInternship ProgramEliminating Violence Against Women ProgramCrisis CenterHealth ProgramIncome Generation ProjectInformation and Documentation Research DepartmentADVOCACYExternal AdvocacyInternal Advocacy,NA,NA
16,Kachin Women's Association Thailand,https://ngo.mycitizen.net/directory/listing/kachin-womens-association-thailand,Women,NA,1999,"PO Box 415, Chiang Mai, Thailand, 50000",+66 (0) 897559892,NA,kwat@loxinfo.co.th,http://www.kachinwomen.com,NA,NA,The empowerment and advancement of Kachin women in order to improve the lives of women and children in Kachin society.,Documentation & Research ProgramCapacity Building ProgramAnti-Trafficking ProgramHealth ProgramMigrant Worker ProgramIncome Generation Activities,NA,NA
17,Shan Human Rights Foundation,https://ngo.mycitizen.net/directory/listing/shan-human-rights-foundation,Human Rights,NA,1990,"Prasingh P.O., 50205 Chiang Mai, Thailand",+66(0)93- 297-7754,NA,shrf@shanhumanrights.org,http://www.shanhumanrights.org/,http://twitter.com/shanhumanrights,https://www.facebook.com/pages/Shan-Human-Rights-Foundation-SHRF/167914939914699,"To strive for human rights and restore justice to the victims;To promote democracy in accordance with the desire and will of the people, and establish a popular government based on democratic principles;To strive for unity, fraternity, equality and cooperation;To strive for world peace, freedom and prosperity.","Since 1997, SHRF has been producing regular reports on human rights violations in Shan State in the form of monthly newsletters in English. These reports are sent to relevant organizations and institutions, and are also posted on the internet.Since 1999, SHRF has also been producing the monthly report in Shan, in order to raise human rights awareness among Shan communities on both sides of the Thai-Shan border, as well as inform them about human rights violations in Shan State.SHRF also carries out research and periodically publishes detailed reports on specific issues related to human rights in Shan State.",NA,NA
18,Free Burma Rangers,https://ngo.mycitizen.net/directory/listing/free-burma-rangers,Health/Humanitarian Aid,NA,1997,"P.O. Box 14, Mae Jo, Chiang Mai, 50290, Thailand",NA,NA,info@freeburmarangers.org,http://www.freeburmarangers.org,NA,https://www.facebook.com/freeburmarangers,"The Free Burma Rangers (FBR) is a multi-ethnic humanitarian service movement. They bring help, hope and love to people in the war zones of Burma.","The Free Burma Rangers (FBR), conduct relief, advocacy, leadership development and unity missions among the people of Burma.",NA,NA
19,The Border Consortium (TBC),https://ngo.mycitizen.net/directory/listing/the-border-consortium-tbc,Refugees/Internally Displaced Persons (IDPs),NA,NA,12/5 Convent Alley Bang Rak Bangkok 10500 Thailand,+66 (0) 2238 5027,NA,tbc@theborderconsortium.org,http://theborderconsortium.org/,NA,NA,"TBC is a consortium of 10 international non-governmental organisations (NGOs) from eight countries. TBC’s main focus is to provide food, shelter and capacity-building support to Burmese refugees and displaced persons. The refugee camps are the key locations for current activities, where TBC also provides support for camp management through the refugee committees. TBC also conducts research into the ongoing causes of internal displacement in South East Burma.",services for Burmese refugees in Thailand and bordering Burmese regions,NA,NA
20,Helping Hands Organization,https://ngo.mycitizen.net/directory/listing/helping-hands-organization,Advocacy/Capacity Building/Development Aid/Education/Environment/Human Rights/Social Business/Women,In process,2012,"12/6 Taungzalatt, Tahan, Kalay Myo, Sagaing/ Chin State",+95 9 73254176,+95 9 33503345,hho.myanmar@gmail.com,NA,http://twitter.com/dktuang,http://www.facebook.com/helpinghands.mm,To get Equal Right and Equal Opportunity in Myanmar.,"Civic Education and Political Awareness.Human Right Education TrainingEnvironment ConcernLand Laws and Land Rights.Model Farming,( Goat, Pig and Chicken)",ကူညီလက္မ်ား(ျမန္မာ) BanZaal,NA
21,Wathann Film Institute (WFI),https://ngo.mycitizen.net/directory/listing/wathann-film-institute-wfi,Film,NA,2011,"15(3B), Obo street (Near Yay kyaw, Shwe Pone Pwint Pagoda) Pazundaung Twonship, Yangon, Myanmar",NA,+95 9 42114 7852,info.wathann@gmail.com,http://www.wathannfilmfest.net,NA,https://www.facebook.com/wathannfilmfest,Organizer of the Wathann Film Festival – the very first film festival in Myanmar.,Yearly film festivals since 2011,NA,NA
22,MIDO (Myanmar ICT for Development Organization),https://ngo.mycitizen.net/directory/listing/mido-myanmar-ict-for-development-organization,Information and Communication Technologies for Development (ICT4D),NA,NA,"No. 20, 2nd Floor, Htee Tan 1st Street, Kyee Myin Dine, Yangon, Burma",NA,"+95-95047281, -943025529, -9450025616",info@myanmarido.org,http://myanmarido.org/,NA,https://www.facebook.com/Myanmarido,"Conducting ICT trainings to people across all regions in Myanmar.Organizing seminars and workshops on contemporary ICT technologiesProtecting individual rights of users and sharing ICT knowledge on digital security and privacy.Research and development of laws and policy which safeguard individual users, businesses and entreprenuers. Publishing reports, and collaborating with respective groups and organizations.",MIDO provides the following ICT for development services and toolkits;Provide Seminars on ICT awareness mainly to rural and suburban areasOrganize Workshop on Capacity building on ICTConduct Basic ICT/Computer trainingsResearch and develop Myanmar’s ICT for development reports and papers,NA,NA
23,Alternative Asean Network on Burma (ALTSEAN),https://ngo.mycitizen.net/directory/listing/alternative-asean-network-on-burma-altsean,Human Rights/Research/Advocacy/Capacity Building,NA,1996,"PO BOX 296 - Lardprao Post Office, 10310 Bangkok, Thailand",+66 81 850 9008,NA,altsean@altsean.org,http://www.altsean.org,http://twitter.com/altsean,https://www.facebook.com/pages/ALTSEAN-Burma/115467048481589,"ALTSEAN-Burma (Alternative ASEAN Network on Burma) is a network of organizations and individuals based in ASEAN member states working to support the movement for human rights and democracy in Burma. The network is comprised of human rights & social justice NGOs, political parties, think tanks, academics, journalists and student activists.",Chronology of events (2005-2013)Parliament Watch (2011-2013)Regime Watch (2011-2013)UN Dossier (1990-2013)Daw Suu Watch (2005-2013)Electricity Protests Map (2012)By-election Special (2012)Political Prisoners – Free Now (2008-2012)SPDC Who’s Who (2011)2010 Election Watch (2010)8888 Campaign (2008)Burma’s Saffron Revolution (2007),NA,NA
24,Women's Rights and Welfare Association of Burma,https://ngo.mycitizen.net/directory/listing/womens-rights-and-welfare-association-of-burma,Health,NA,1995,"Vikas Puri, New Delhi, Delhi, India",NA,NA,NA,NA,NA,NA,"The Women’s Rights and Welfare Association of Burma (WRWAB) was founded in February 1995 by a group of Burmese women in Delhi. The organization has set up training workshops on women’s rights and health care and encouraged women’s participation in decision making and political mobilization.The WRWAB established a healthcare centre for Burmese migrants in Delhi to provide primary health care and medicines free of cost, as well as to practice minor operations and deliver babies. A certified, experienced nurse from Burma provides treatment. The centre also organizes workshops on health education.",Providing free healthcare to Burmese refugees in Delhi,NA,http://www.mikrogranty.cz/burma/all-projects/health-centre-for-burmese-refugees.html
25,Burma Charity Fund,https://ngo.mycitizen.net/directory/listing/burma-charity-fund,Social Service,NA,2005,"West Delhi, Delhi, India",NA,NA,NA,NA,NA,NA,The Burmese Charity Fund was founded by three Burmese members in 2005. The general purpose of the organization is to help Burmese refugees in Delhi to meet their basic livelihood needs and get access to health care through small cash support. The fund also provides financial assistance to students in need.,Providing social assistance to people in need,NA,http://www.mikrogranty.cz/burma/all-projects/crisis-assistance-for-refugee-families.html
26,Chin Human Rights Organization (Delhi),https://ngo.mycitizen.net/directory/listing/chin-human-rights-organization-delhi,Human Rights/Research/Capacity Building,NA,1995,"West Delhi, Delhi, India",NA,NA,NA,http://www.chro.ca,NA,NA,"Chin Human Rights organization (CHRO) is a non-governmental non-profit organization legally registered in Canada with branch offices in India, Thailand and in the United States.Formed in 1995 by a group of Chin activists who began monitoring human rights situation in Chin State and Western Burma along the borders with India and Bangladesh, the CHRO has grown from a small organization to a well-respected and professionally managed human rights organization. The organization aims to promote and protect the rights of Chin people by educating and empowering them through training/workshops and also through advocacy work. The population served includes Chin in Chin state, Burma, as well as Chin refugees living in such countries as India and Malaysia.",Workshops on how to document Human Rights violations,NA,http://www.mikrogranty.cz/burma/all-projects/human-rights-violations-documentation-and-networking-training.html
27,HIV/AIDS Prevention and Care Centre,https://ngo.mycitizen.net/directory/listing/hivaids-prevention-and-care-centre,HIV/AIDS,NA,2002,"Yangon, Yangon Region, Myanmar",NA,NA,NA,NA,NA,NA,The HIV/AIDS Prevention and Care Centre was founded in 2002 to provide guidance and training about HIV/AIDS. The aim of the organization is to eliminate HIV/AIDS from Burma. Current activities include operation of a community centre to provide basic shelter and medical treatment to HIV/AIDS patients as well as activities to assist with reintegration of HIV/AIDS patients to the society. The organization is fully dependent on individual donations.,Reintegrating HIV/AIDS Patients into society,NA,NA
28,Burmese Social Welfare Association,https://ngo.mycitizen.net/directory/listing/burmese-social-welfare-association,Health/Education,NA,2005,"Aizawl, Mizoram, India",NA,NA,NA,NA,NA,NA,"The Burmese Social Welfare Association was established in May 2005 by Burmese migrant workers in Mizoram state of India. BSWA is comprised of 17 committee members and 3 advisors and among the committee members 3 seats are for female activists. BSWA seeks to provide medical, educational and funeral services for the Burmese migrant workers in Mizoram state, one of the regions highly populated with Burmese migrant workers.",medical care for Burmese migrant workers in Northeastern India,NA,http://www.mikrogranty.cz/burma/all-projects/free-clinic-for-burmese-migrant-workers.html
29,The Matu Herald News Group,https://ngo.mycitizen.net/directory/listing/the-matu-herald-news-group,Media,NA,2008,"Sitapuri, New Delhi",NA,NA,NA,NA,NA,NA,The Matu Herald News Group was established in October 2008. The group seeks to inform all Burmese living outside the country (specifically those from the Matu community living in India) about the political situation inside Burma. The group members also see publishing the journal as a means of non-violent political movement to improve the government of Burma.,Matu Herald News,NA,http://www.mikrogranty.cz/burma/all-projects/the-matu-herald-news.html
30,Burmese Women Delhi,https://ngo.mycitizen.net/directory/listing/burmese-women-delhi,Health/Women/Education,NA,2006,"New Delhi, India",NA,NA,NA,NA,NA,NA,"Burmese Women Delhi was founded in 2006 by 25 women from different communities in Delhi. The organization’s objectives are 1) to reduce violence against women, 2) empower Burmese refugee women in Delhi and 3) link with Indian NGOs and women groups. Main activities include training, a monthly women’s exchange, efforts to bring an end to violence against women, and networking with other organizations.",Training for parents,NA,http://www.mikrogranty.cz/burma/all-projects/helping-children-thrive-training-for-parents.html
31,Social Health and Education Development (SHED),https://ngo.mycitizen.net/directory/listing/social-health-and-education-development-shed,Education/Health,NA,2010,"Mizoram, India",NA,NA,NA,NA,NA,NA,"Social Health and Education Development (SHED) was formed in June 2010 for village health education and to provide limited primary health care to the medically under-served population of Indo-Burma border area. Since 2012, SHED has been concentrating on reaching out to the Burmese refugees in the region to provide health education. The organization aims to raise awareness in health-related issues and also to train medical personnel to be able to provide logistical support for emergency patients such as first-aid services or referring them to bigger medical facilities.",Health education program for residents of the rural areas of the Chin state (Burma) and for Burmese migrants in India,NA,http://www.mikrogranty.cz/burma/all-projects/community-health-awareness-program.html
32,Zomi Community Delhi,https://ngo.mycitizen.net/directory/listing/zomi-community-delhi,Education,NA,2002,"Vikas Puri, West Delhi",NA,NA,NA,NA,NA,NA,"Zomi Community Delhi is a social organization started in 2002 by people from the Zomi ethnic group originating in the Chin State of Burma. The main purpose of the organization is to help fellow Zomi, build unity among the community, integrate with local people, solve problems with others, translate/interpret in different languages, lead/guide newcomers to achieve their goals and promote education.",2011: Zomi Community School,NA,http://www.mikrogranty.cz/burma/all-projects/zomi-community-school.html
33,The Heritage of Mon Culture Group,https://ngo.mycitizen.net/directory/listing/the-heritage-of-mon-culture-group,Music,NA,2003,"Moulmein, Burma",NA,NA,NA,NA,NA,NA,"The Heritage of Mon Culture Group was established in 2003 with its aim to perpetuate and conserve the Mon traditional and cultural heritage throughout the world. Since the establishment, the organization has strived to introduce the Mon culture to the public. The Heritage of Mon Culture Group has produced 30 items of Mon traditional songs and dances with voluntary contributions from its members and supporters. The organization has opened training session of the Mon traditional dance and music in the USA and in Thailand for anyone who is interested.",Training youth how to play the crocodile-shaped instrument.,NA,http://www.mikrogranty.cz/burma/all-projects/keeping-alive-traditional-mon-music.html
34,Health Education Awareness Raising Team (HEART),https://ngo.mycitizen.net/directory/listing/health-education-awareness-raising-team-heart,Health/HIV/AIDS,NA,2013,"Moulmein, Mon, Burma",NA,NA,NA,NA,NA,NA,"Founded in 2013 by a group of medical experts to promote activities related to public health education, HEART aims to raise awareness and prevent public health problems such as HIV/AIDS, Malaria and Tuberculosis. The publications of HEART mainly put its emphasis on preventive care and healthy living.",HIV/AIDS Health Education,NA,http://www.mikrogranty.cz/burma/all-projects/hiv-aids-health-education.html
