,organisation,description,website,cause_area,programme_types,address,contact_number,email
10,Myanmar Orphans Support Network,"This network is founded by youth people who live in Myanmar (Burma). We are supporting orphans and poor child from our country. We will also do others motivation activities for orphans. You are welcome to join our group and help the children.Our VisionSupporting the vulnerable children, including orphans for building the sustainable development of the country.Our MissionTo help and support the orphans in terms of education, health care, nutrition and other social welfare.",NA,Children/Psychosocial Services,What we do? Supporting the orphans Educating the orphans Empowering the orphans Vocational and psychological training for the orphans Life Skill training  What are our regular programs? Psycho-social Support Program Health Care Program Dental Care Program Personal Hygiene Program  Knowledge Sharing Program for volunteers Environmental Education Program  ,"255 Aung Thit Sar Street, Yangon, Yangon Region, Republic of the Union of Myanmar","Tel: +959421137052, Mob: NA",NA
11,Myanmar Youth Network,"Youth-led civil society organization for youth mobilization and advocacy to initiate strong civil society and voice the Myanmar youth concerns in the international community.Vision:Educating and instilling young people in modern thoughts to work towards the welfare of the world by contributing peace, justice, harmony and loving kindness.Mission:Young people with sincerity, cooperation, cohesion and perseverance shall create a peaceful, harmonious and beautiful world.Objectives:The general objectives stated in the legal basis of the Myanmar Youth Network are to:Promote tolerance and mutual understanding among young people.Foster candid cooperation habit among young people.Encourage young people to energetically participate in social works.Train and develop young people in becoming effective leaders in our society.Educate young people to keep abreast of the world.",NA,Capacity Building/Children,workshops ,"Yangon, Yangon Region, Republic of the Union of Myanmar","Tel: NA, Mob: + 95 (0) 9 5087234, + 95 (0) 9 5044120",NA
12,Pandita Development Institute (PDI),"Pandita Development Institute (PDI) is a civil society organization, which is to promote the citizen participation and practice democratic principles in the society.MissionTo build a democratic nation in which sustainable development is embedded by the active citizens and mission is community leaders with sincerity, collaboration, perseverance and cohesion shall create the peaceful, harmonious and democratic country.",http://www.pandita.asia,Democracy Promotion,see http://www.pandita.asia/?q=globalization ,"93, Seikkanthar Street, Kyauktada, Yangon, Yangon Region","Tel: +95 (0) 9 250 587 279, Mob: +95 9 508 7234",info@pandita.asia
13,Karen Women Organisation (KWO),"To assist women in the endeavour to be free from all forms of oppression.To promote and empower women in all spheres of life, including education and general living standards.To encourage women to participate in the struggle for freedom, democracy and equality.To develop women’s knowledge, ability and skills, including political and organisational skills.To achieve the rights of women and equal status with men.To promote and maintain Karen culture and traditions.To improve the well being of women and children and to increase their access to adequate health, education and welfare service",http://karenwomen.org,Women,see http://karenwomen.org/kwo-every-2-year-reports/ ,"P.O. Box 19, Mae Sariang, Mae Hong Song Province 58110, Thailand","Tel: (66) 053-681-084, Mob: NA",kwocentral@gmail.com
14,Karenni National Women's Organization,"To empower Karenni women to play a leadership roleTo organize education, income generation and other projects for the benefit of the entire Karenni refugee populationTo increase international awareness of the Karenni situationTo promote gender equality and fight all forms of discriminationTo preserve the customs, literature and languages of the Karenni peopleTo promote and advocate for women and child rightsTo take care of women who are affected by violence",http://karenniwomen.org,Women/Children/Capacity Building/Advocacy,"Capacity Building Child Development Women and Children Protection Vocational Development Documentation, Research and Advocacy ","P.O. Box 31 , Mae Hong Son 58000, Thailand","Tel: NA, Mob: +660806738315",knwocent@gmail.com
15,Palaung Women's Organization,"We are Palaung women who will advocate and advance the statues of women in field of development and working forwards achieving gender equality, justice, peace and democratic society.",http://eng.palaungwomen.com/,Women,PROJECTS AND PROGRAMS Women’s Political Development Program Young Women’s Capacity Building Training Internship Program Eliminating Violence Against Women Program Crisis Center Health Program Income Generation Project Information and Documentation Research Department ADVOCACY External Advocacy Internal Advocacy ,"P.O. Box 98 Mae Sot, Tak 63110, Thailand","Tel: +66 (0) 55-546-60, Mob: NA",pwotaang@gmail.com
16,Kachin Women's Association Thailand,The empowerment and advancement of Kachin women in order to improve the lives of women and children in Kachin society.,http://www.kachinwomen.com,Women, Documentation & Research Program Capacity Building Program Anti-Trafficking Program Health Program Migrant Worker Program Income Generation Activities  ,"PO Box 415, Chiang Mai, Thailand, 50000","Tel: +66 (0) 897559892, Mob: NA",kwat@loxinfo.co.th
17,Shan Human Rights Foundation,"To strive for human rights and restore justice to the victims;To promote democracy in accordance with the desire and will of the people, and establish a popular government based on democratic principles;To strive for unity, fraternity, equality and cooperation;To strive for world peace, freedom and prosperity.",http://www.shanhumanrights.org/,Human Rights,"Since 1997, SHRF has been producing regular reports on human rights violations in Shan State in the form of monthly newsletters in English. These reports are sent to relevant organizations and institutions, and are also posted on the internet. Since 1999, SHRF has also been producing the monthly report in Shan, in order to raise human rights awareness among Shan communities on both sides of the Thai-Shan border, as well as inform them about human rights violations in Shan State. SHRF also carries out research and periodically publishes detailed reports on specific issues related to human rights in Shan State. ","Prasingh P.O., 50205 Chiang Mai, Thailand","Tel: +66(0)93- 297-7754, Mob: NA",shrf@shanhumanrights.org
18,Free Burma Rangers,"The Free Burma Rangers (FBR) is a multi-ethnic humanitarian service movement. They bring help, hope and love to people in the war zones of Burma.",http://www.freeburmarangers.org,Health/Humanitarian Aid,"The Free Burma Rangers (FBR), conduct relief, advocacy, leadership development and unity missions among the people of Burma. ","P.O. Box 14, Mae Jo, Chiang Mai, 50290, Thailand","Tel: NA, Mob: NA",info@freeburmarangers.org
19,The Border Consortium (TBC),"TBC is a consortium of 10 international non-governmental organisations (NGOs) from eight countries. TBC’s main focus is to provide food, shelter and capacity-building support to Burmese refugees and displaced persons. The refugee camps are the key locations for current activities, where TBC also provides support for camp management through the refugee committees. TBC also conducts research into the ongoing causes of internal displacement in South East Burma.",http://theborderconsortium.org/,Refugees/Internally Displaced Persons (IDPs),services for Burmese refugees in Thailand and bordering Burmese regions ,12/5 Convent Alley Bang Rak Bangkok 10500 Thailand,"Tel: +66 (0) 2238 5027, Mob: NA",tbc@theborderconsortium.org
20,Helping Hands Organization,To get Equal Right and Equal Opportunity in Myanmar.,NA,Advocacy/Capacity Building/Development Aid/Education/Environment/Human Rights/Social Business/Women,"Civic Education and Political Awareness. Human Right Education Training Environment Concern Land Laws and Land Rights. Model Farming,( Goat, Pig and Chicken) ","12/6 Taungzalatt, Tahan, Kalay Myo, Sagaing/ Chin State","Tel: +95 9 73254176, Mob: +95 9 33503345",hho.myanmar@gmail.com
21,Wathann Film Institute (WFI),Organizer of the Wathann Film Festival – the very first film festival in Myanmar.,http://www.wathannfilmfest.net,Film,Yearly film festivals since 2011 ,"15(3B), Obo street (Near Yay kyaw, Shwe Pone Pwint Pagoda) Pazundaung Twonship, Yangon, Myanmar","Tel: NA, Mob: +95 9 42114 7852",info.wathann@gmail.com
22,MIDO (Myanmar ICT for Development Organization),"Conducting ICT trainings to people across all regions in Myanmar.Organizing seminars and workshops on contemporary ICT technologiesProtecting individual rights of users and sharing ICT knowledge on digital security and privacy.Research and development of laws and policy which safeguard individual users, businesses and entreprenuers. Publishing reports, and collaborating with respective groups and organizations.",http://myanmarido.org/,Information and Communication Technologies for Development (ICT4D),MIDO provides the following ICT for development services and toolkits; Provide Seminars on ICT awareness mainly to rural and suburban areas Organize Workshop on Capacity building on ICT Conduct Basic ICT/Computer trainings Research and develop Myanmar’s ICT for development reports and papers  ,"No. 20, 2nd Floor, Htee Tan 1st Street, Kyee Myin Dine, Yangon, Burma","Tel: NA, Mob: +95-95047281, -943025529, -9450025616",info@myanmarido.org
23,Alternative Asean Network on Burma (ALTSEAN),"ALTSEAN-Burma (Alternative ASEAN Network on Burma) is a network of organizations and individuals based in ASEAN member states working to support the movement for human rights and democracy in Burma. The network is comprised of human rights & social justice NGOs, political parties, think tanks, academics, journalists and student activists.",http://www.altsean.org,Human Rights/Research/Advocacy/Capacity Building,Chronology of events (2005-2013) Parliament Watch (2011-2013) Regime Watch (2011-2013) UN Dossier (1990-2013) Daw Suu Watch (2005-2013) Electricity Protests Map (2012) By-election Special (2012) Political Prisoners – Free Now (2008-2012) SPDC Who’s Who (2011) 2010 Election Watch (2010) 8888 Campaign (2008) Burma’s Saffron Revolution (2007) ,"PO BOX 296 - Lardprao Post Office, 10310 Bangkok, Thailand","Tel: +66 81 850 9008, Mob: NA",altsean@altsean.org
24,Women's Rights and Welfare Association of Burma,"The Women’s Rights and Welfare Association of Burma (WRWAB) was founded in February 1995 by a group of Burmese women in Delhi. The organization has set up training workshops on women’s rights and health care and encouraged women’s participation in decision making and political mobilization.The WRWAB established a healthcare centre for Burmese migrants in Delhi to provide primary health care and medicines free of cost, as well as to practice minor operations and deliver babies. A certified, experienced nurse from Burma provides treatment. The centre also organizes workshops on health education.",NA,Health, Providing free healthcare to Burmese refugees in Delhi  ,"Vikas Puri, New Delhi, Delhi, India","Tel: NA, Mob: NA",NA
25,Burma Charity Fund,The Burmese Charity Fund was founded by three Burmese members in 2005. The general purpose of the organization is to help Burmese refugees in Delhi to meet their basic livelihood needs and get access to health care through small cash support. The fund also provides financial assistance to students in need.,NA,Social Service, Providing social assistance to people in need  ,"West Delhi, Delhi, India","Tel: NA, Mob: NA",NA
26,Chin Human Rights Organization (Delhi),"Chin Human Rights organization (CHRO) is a non-governmental non-profit organization legally registered in Canada with branch offices in India, Thailand and in the United States.Formed in 1995 by a group of Chin activists who began monitoring human rights situation in Chin State and Western Burma along the borders with India and Bangladesh, the CHRO has grown from a small organization to a well-respected and professionally managed human rights organization. The organization aims to promote and protect the rights of Chin people by educating and empowering them through training/workshops and also through advocacy work. The population served includes Chin in Chin state, Burma, as well as Chin refugees living in such countries as India and Malaysia.",http://www.chro.ca,Human Rights/Research/Capacity Building, Workshops on how to document Human Rights violations  ,"West Delhi, Delhi, India","Tel: NA, Mob: NA",NA
27,HIV/AIDS Prevention and Care Centre,The HIV/AIDS Prevention and Care Centre was founded in 2002 to provide guidance and training about HIV/AIDS. The aim of the organization is to eliminate HIV/AIDS from Burma. Current activities include operation of a community centre to provide basic shelter and medical treatment to HIV/AIDS patients as well as activities to assist with reintegration of HIV/AIDS patients to the society. The organization is fully dependent on individual donations.,NA,HIV/AIDS, Reintegrating HIV/AIDS Patients into society  ,"Yangon, Yangon Region, Myanmar","Tel: NA, Mob: NA",NA
28,Burmese Social Welfare Association,"The Burmese Social Welfare Association was established in May 2005 by Burmese migrant workers in Mizoram state of India. BSWA is comprised of 17 committee members and 3 advisors and among the committee members 3 seats are for female activists. BSWA seeks to provide medical, educational and funeral services for the Burmese migrant workers in Mizoram state, one of the regions highly populated with Burmese migrant workers.",NA,Health/Education, medical care for Burmese migrant workers in Northeastern India  ,"Aizawl, Mizoram, India","Tel: NA, Mob: NA",NA
29,The Matu Herald News Group,The Matu Herald News Group was established in October 2008. The group seeks to inform all Burmese living outside the country (specifically those from the Matu community living in India) about the political situation inside Burma. The group members also see publishing the journal as a means of non-violent political movement to improve the government of Burma.,NA,Media, Matu Herald News  ,"Sitapuri, New Delhi","Tel: NA, Mob: NA",NA
30,Burmese Women Delhi,"Burmese Women Delhi was founded in 2006 by 25 women from different communities in Delhi. The organization’s objectives are 1) to reduce violence against women, 2) empower Burmese refugee women in Delhi and 3) link with Indian NGOs and women groups. Main activities include training, a monthly women’s exchange, efforts to bring an end to violence against women, and networking with other organizations.",NA,Health/Women/Education, Training for parents  ,"New Delhi, India","Tel: NA, Mob: NA",NA
31,Social Health and Education Development (SHED),"Social Health and Education Development (SHED) was formed in June 2010 for village health education and to provide limited primary health care to the medically under-served population of Indo-Burma border area. Since 2012, SHED has been concentrating on reaching out to the Burmese refugees in the region to provide health education. The organization aims to raise awareness in health-related issues and also to train medical personnel to be able to provide logistical support for emergency patients such as first-aid services or referring them to bigger medical facilities.",NA,Education/Health, Health education program for residents of the rural areas of the Chin state (Burma) and for Burmese migrants in India  ,"Mizoram, India","Tel: NA, Mob: NA",NA
32,Zomi Community Delhi,"Zomi Community Delhi is a social organization started in 2002 by people from the Zomi ethnic group originating in the Chin State of Burma. The main purpose of the organization is to help fellow Zomi, build unity among the community, integrate with local people, solve problems with others, translate/interpret in different languages, lead/guide newcomers to achieve their goals and promote education.",NA,Education,2011: Zomi Community School ,"Vikas Puri, West Delhi","Tel: NA, Mob: NA",NA
33,The Heritage of Mon Culture Group,"The Heritage of Mon Culture Group was established in 2003 with its aim to perpetuate and conserve the Mon traditional and cultural heritage throughout the world. Since the establishment, the organization has strived to introduce the Mon culture to the public. The Heritage of Mon Culture Group has produced 30 items of Mon traditional songs and dances with voluntary contributions from its members and supporters. The organization has opened training session of the Mon traditional dance and music in the USA and in Thailand for anyone who is interested.",NA,Music,Training youth how to play the crocodile-shaped instrument. ,"Moulmein, Burma","Tel: NA, Mob: NA",NA
34,Health Education Awareness Raising Team (HEART),"Founded in 2013 by a group of medical experts to promote activities related to public health education, HEART aims to raise awareness and prevent public health problems such as HIV/AIDS, Malaria and Tuberculosis. The publications of HEART mainly put its emphasis on preventive care and healthy living.",NA,Health/HIV/AIDS,HIV/AIDS Health Education ,"Moulmein, Mon, Burma","Tel: NA, Mob: NA",NA
35,Chin Human Rights Organization (Aizawl),"Chin Human Rights organization (CHRO) is a non-governmental non-profit organization legally registered in Canada with branch offices in India, Thailand and in the United States.Formed in 1995 by a group of Chin activists who began monitoring human rights situation in the Chin State and in Western Burma along the borders with India and Bangladesh, the CHRO has grown from a small organization to a well-respected and professionally managed human rights organization. The organization aims to promote and protect the rights of Chin people by educating and empowering them through training/workshops and also through advocacy work. The population served includes Chin in the Chin state, Burma, as well as Chin refugees living in India and Malaysia.",http://www.chro.ca,Human Rights/Capacity Building/Research,Human Rights Training Manual in Chin Language ,"Aizawl, Mizoram, India","Tel: NA, Mob: NA",NA
36,Mizo Welfare Organization,"Mizo Welfare Organization (MWO) was founded in October, 2007 to support the welfare of the Burmese people, promote and protect their culture, improve awareness of human rights and democracy, and unify people living in the Kabaw Valley in Burma as well as community members living in Mizoram. MWO seeks to instill democratic values in Burmese refugees through capacity building and thus to promote democratic transition in Burma. The organization aims to further support women and youth in particular, and to help develop the community as a whole.",NA,Advocacy,Women’s Rights Campaign ,"Aizawl, Mizoram","Tel: NA, Mob: NA",NA
37,Chin Student Union (CSU),"The Chin Student Union was formed in 1946, by a few Chin students at the Rangoon University, to participate in the movement to achieve independence from the British Empire. After the student uprising in Burma on August 8, 1988, leaders were exiled to India and the organization was reformed in 1995. The Chin Student Union’s aims and objectives include helping with the educational and social problems of the Chin people; preserving and promoting the Chin literature, culture, and tradition; and advocating for equality and self-determination in the Union of Burma together with other ethnic organizations.The CSU helps Burmese students and youth to get admission to Indian schools, colleges, and universities. It has organized workshops, trainings, and other activities for Burmese refugees in Delhi. CSC has also collaborated with Tibetan Student Union and Indian Student Union to help Burmese people get access to education in India. The organization serves Burmese refugees all over India and networks with student groups inside as well as outside of Burma.",NA,Education,Seminar for Burmese Youths to inform them about education opportunities at universities and colleges in India. ,"New Delhi, Delhi, India","Tel: NA, Mob: NA",NA
38,Chin Refugee Committee,"Chin Refugee Committee Delhi was established in January 1996 by the Chin people who had fled from persecution in Burma. Since then, CRC has worked to address the problems Chin refugees and asylum seekers face in India.CRC is a community based organization run by 22 members, each representing the different Chin communities of Delhi. The organization aims to look into the affairs of the Chin community and provide relief and assistance in regards to health, education and development of the Chin refugees in Delhi.CRC also endeavors to bring international attention to the situation of the Chin refugees as well as advocating with the UNHCR for legal and financial assistance for refugees.",NA,Education/Health/Livelihood and Food Security,"Counselling, social services 2013: Video documentation about refugee lives in Delhi ","West Delhi, Delhi, India","Tel: NA, Mob: NA",NA
39,Zomi Women Union,The aims and activities of the organization are promoting the education and rights of women and children.,NA,Education/Children/Women,2013: training for refugee women ,"West Delhi, Delhi, India","Tel: NA, Mob: NA",NA
40,Delhi Burmese Christian Fellowship,–,NA,Education,since 2011: school for Burmese children in India. ,"Janakpuri, New Delhi, Delhi, India","Tel: NA, Mob: NA",NA
41,Radanar Ayar Rural Development Association,"Poverty reduction by offering an enabling environment to all stakeholders through improved governance and environmentally feasible for the right-livelihood interventions and Partnership building at all levels will supplement and ensure the goal of sustainable development which is socially, environmentally, politically and legally feasible missions of emergency and development conditions.",http://www.radanarayar.org,Livelihood and Food Security/Rural Development/Development Aid/Health,"Thematic Areas of Work Sustainable Agriculture CSO Strengthening Initiatives  Disaster Managements (Preparedness and Responses)  Private and Public Partnerships  Non Formal Education Primary Health Care Planned for Future Activities Community Physical infrastructure projects  Primary Health Care HIV/AIDS Prevention, Care and Support Sustainable Natural Resource Management Education and Literacy projects Human/ Labor rights Poverty alleviation through micro credit, enterprise development & skill development initiatives Awareness, education and advocacy through (documentaries, theaters, printed material, seminars and workshops)  Institutional Development Radanar Ayar is a growing organization and has been passed through the phase of consolidation, organizational development. The organization has been certified by Transparency under Euro parliamentary and Euro Commission and General Consultative Status to United Nations Economic and Social Section (ECOSOC-UN). Partnerships and Networking Radanar Ayar signed several Memoranda for the Basic Agreements for cooperation with the following Institutions and Agencies. United Nations Office for the Project Services – carry out LIFT fund ( a multi donors fund for poverty alleviation) Badeidha Moe CSO- a Woman Led Organisation carry out civil society strengthening initiatives and basic protections and right-based matters including women and child rights interventions. Sphere Project Office in Geneva- carry out Sphere Minimum standards and disseminations of Humanitarian charter and Minimum Standards in Humanitarian Responses and Sphere training service for the improvements of disaster managements in Humanitarian Contacts. Save the Children’s Fund- for civil society strengthening initiatives carried out that supports on cooperation and better coordination mechanism in both local and at national levels. United Nations Office for the Co ordinations of Humanitarian Affairs (UN OCHA)- closed contacts for the Myanmar Information Management Unit (MiMU) and general contacts for Humanitarian actions in Myanmar. Professional and Network, Working Groups Membership Myanmar NGO Network (MNN)- member organisation to MNN since 2009 and active body in general consultations of development and humanitarian coordination. Accountability and Learning Working Group (ALWG)- actively involved in better focus on learning and sharing of accountability and transparency practices, lesson learnt, sharing experiences on Complaint, Feed Back and Responses Mechanism . Better cooperation in strategic actions developments and capacity enhancement events. Myanmar NGO Consortium on DRR- MNC-DRR- coordinating body of the disaster risk reduction and disaster preparedness sectors in collaboration with Expatriates Groups and such Agencies. DRR Working Group (DRRWG)- member agency of the Disaster Risk Reductions and closed coordination with Department of Relief and Resettlements under the Ministry of Social Welfare, Relief and Resettlement, Asian Disaster Preparedness Center (ADPC) and UN Treaty Bodies and Leads to IASC- United Nations Development Programme (UNDP) and Unicef. Signing to Global Initiatives","Bogale, Ayeyarwady, Myanmar","Tel: +95-45-45 837, Mob: +95-9-4959 0446~ 0448",info@radanarayar.org
