,Organisation,NGO Listing Page,Classified Category,Address,Telephone,Mobile,Email,Website,Twitter,Facebook,GooglePlus,Instagram,Description,Programs,Year of Foundation,Country
10,Yayasan Solemen Indonesia,https://www.bali.com/charity_Kuta_Yayasan-Solemen-Indonesia_4069.html,"Balinese People, Children, Health, General Wellbeing","80361 Kuta, Bali",+62  0812 3720 6220,+62 0812 3720 6220,info@solemen.org,http://www.solemen.org,https://twitter.com/solemenindo,https://www.facebook.com/IndonesiaSoleMen,https://plus.google.com/++SolemenOrg,NA,"Yayasan Solemen Indonesia, an Indonesian registered non-profit Foundation, was formed in October 2010 to raise awareness and provide funds to support accredited agencies and projects for the disadvantaged in Bali. Sole Man Robert declared his intention to be barefoot until SOLEMEN had raised one million US Dollars.  The reason for being barefoot is “to be in solidarity with those who don’t have a choice to wear or not wear shoes”. Solemen‘s first ‘awareness’ 535 km barefoot walk around Bali was not just a ‘walk’.  The Solemen held frequent health education checks and made presentations in schools, orphanages and villages together with a medical team from Anak Anak Bali. Solemen Indonesia (Solemen), an Indonesian registered non-profit charity primarily focusing our efforts on helping the disadvantaged in Bali, Indonesia. We are one of the most well known and trusted charities in Bali.","Our mission is to help the disadvantaged in Bali, Indonesia",2010,Indonesia
11,Bali Pink Ribbon Foundation,https://www.bali.com/charity_Kuta_Bali-Pink-Ribbon-Foundation_2699.html,"Women & Women's Rights, Health",Jl. Dewi Sri IV 1 Bali,+62 361 8352299,+62 816 4700064,info@balipinkribbon.com ,http://www.balipinkribbon.com,https://twitter.com/BaliPinkRibbon,https://www.facebook.com/BaliPinkRibbon?v=info,NA,NA,Raising breast cancer awareness amongst the local communities in Bali through education. Aiming to reduce breast cancer mortality. Fundraising to support our programs.,The Mission of the Bali Pink Ribbon Foundation is to increase Breast Cancer Awareness and to provide support to Breast Cancer Survivors.,NA,Indonesia
12,CTC Coral Triangle Center,https://www.bali.com/charity_Sanur_CTC-Coral-Triangle-Center_2719.html,"Environment & Nature Conservation, Oceans & Marine Life",80228 Sanur,+62 361 289 338,NA,info@coraltrianglecenter.org,http://coraltrianglecenter.org,NA,https://www.facebook.com/CoralTriangleCenter/,NA,https://www.instagram.com/coraltrianglecenter/,"At CTC, we train the people who are in the frontlines of this struggle, building networks, delivering courses, and providing on-ground support for the current and future guardians of the coral seas.
The battle for the survival of the Coral Triangle cannot be won without well-trained people who are sensitive to the needs of the ocean and able to do what it takes to safeguard it. Since its foundation in 2011, the CTC has supplied crucial knowledge and skills to thousands of people engaged in the struggle for a healthy and thriving Coral Triangle: people working on the ground in fisheries and in protected areas, scientists, NGO workers, government officials, and volunteers.","We invest in people to protect our marine heritage, biodiversity and food security",2010,Indonesia
13,Inspirasia Foundation,https://www.bali.com/charity_Denpasar_Inspirasia-Foundation_2703.html,General Wellbeing,Jl. Bakung 19 Bali,+62 361 9033318,NA,info@inspirasia.org,http://www.inspirasia.org,NA,https://www.facebook.com/InspirasiaFoundation,NA,NA,"Formerly Annika Linden Foundation, Inspirasia is a private philanthropy investing in health & education for the most marginalised families across Asia. 
The foundation was the bright light created in the darkness of the tragedy to help those affected by the bombings. Since then it has developed and grown into a leading foundation working with a number of different organizations in different countries. It has expanded to inspire others, create change and new possibilities.",NA,2003,Indonesia
14,Fair Future Foundation,https://www.bali.com/charity_Ubud_Fair-Future-Foundation_2709.html,"Balinese People, Children, Health, General Wellbeing",80571 Ubud,+62 361 975370,+62 819 99774628,info@fairfuturefoundation.org,http://www.fairfuturefoundation.org,NA,https://www.facebook.com/FairFutureFoundation,NA,NA,Free healthcare for people in need,"to improve the daily life of the local community in suffering, whether they are affected by a situation of social vulnerability, emotional or medical, or suffering from disability.",2006,Indonesia
15,Villa Kitty Bali,https://www.bali.com/charity_Ubud_Villa-Kitty-Bali_4553.html,Animal Welfare,"80571 Ubud (Banjar Tengah, LODTUNDUH)",+62 361 981651,+62 85857584131,elizabeth@villakittybali.com,http://www.villakitty.com,https://twitter.com/VillaKittyBali,https://www.facebook.com/villakitty,NA,NA,"Villa Kitty is a rescue and adoption centre for Bali’s abandoned cats and kittens.We have just celebrated our 3rd birthday with one hundred and twenty-one cats and kittens, seventeen of them tiny kittens under 6 weeks",The Villa Kitty team works hard to save the lives of Bali’s abandoned cats and kittens.,2009,Indonesia
16,Yayasan Anak - Bantuan Anak Indonesia,https://www.bali.com/charity_Ubud_Yayasan-Anak---Bantuan-Anak-Indonesia_2707.html,NA,80571 Ubud (Kalah),+62 361 977204,NA,info@anakbali.org,http://www.anakbali.org/,NA,https://www.facebook.com/yayasanbantuananak.indonesia,NA,NA,"To educate children from remote villages in Bali, who live below the poverty threshold","In respect and harmony with local customs, Anak endeavours to respond to the practical needs of the population, through formal and informal education, but also in terms of infrastructure and the environment.",2003,Indonesia
17,BARC (Bali Dog Adoption Rehabilitation Centre),https://www.bali.com/charity_Ubud_BARC-Bali-Dog-Adoption-Rehabilitation-Centre-_4554.html,NA,80571 Ubud (Pengosekan),+62 (0)361 971208,+62 812-3848-5224,rescue@barc4balidogs.org.au,http://www.barc4balidogs.org.au/,https://twitter.com/barc4balidogs,https://www.facebook.com/BaliDogAdoptionRehabilitationCentre,NA,https://www.instagram.com/barc4balidogs,"BARC is a no-kill shelter providing vaccination, sterilization and other necessary medical assistance to all rescued animals. We operate a street sterilization program to help stop the relentless flow of unwanted puppies. Additionally we conduct education programs in the Balinese community.

BARC runs a basic clinic in central  Ubud where the non emergency cases can be treated and receive care, we also have an adoption centre and retail outlet, the retail outlet hosts our charity store, our pet store and our BARC merchandise store, 100% of profits from these three stores go directly to the care of the animals.",NA,NA,Indonesia
18,BAWA Bali Animal Welfare Association,https://www.bali.com/charity_Ubud_BAWA-Bali-Animal-Welfare-Association_4369.html,NA,Jl Monkey Forest 100x Bali,+62 361 981490,+62 81138 9004,info@bawabali.com,http://www.bawabali.com,https://twitter.com/bawa_bali,https://www.facebook.com/bawabali,NA,https://www.instagram.com/bawabali_official,"Bali Animal Welfare Association (BAWA) is a non-profit organisation registered in Indonesia and the USA. BAWA works to save and protect animals in Bali and beyond. BAWA was formerly established in 2007 and operates island-wide, every day. BAWA will respond to alerts of any animal in distress – from snakes to dolphins. A key focus is Bali’s Heritage Dog – the island’s genetically unique street dog that is under threat of extinction.",NA,2007,Indonesia
19,Yayasan Karuna Bali,https://www.bali.com/charity_Ubud_Yayasan-Karuna-Bali_2715.html,"Children, Education & Schools",80571 Ubud,+62 361 978986,+62 361 7800399,wayan@karunabali.com,http://www.karunabali.com,NA,https://www.facebook.com/karuna.bali.foundation,NA,NA,"Karuna Bali Foundation —YAYASAN KARUNA BALI — is a not-for-profit Indonesian organization, established to provide individual growth opportunity through education, serving all people crossing all boundaries of religion, nationality, and race.","Karuna Bali goes beyond traditional teaching of its students. Based on the conviction that each student carries within himself and herself an innate knowing of their natural skills and creativity, our intention is to offer them the opportunity to direct their energy into these areas and thereby grow into their full potential",2007,Indonesia
20,Begawan Foundation,https://www.bali.com/charity_Ubud_Begawan-Foundation_2711.html,"Environment & Nature Conservation, Animal Welfare",80571 Ubud (Pengaji),+62 361 9001323,NA,carolyn@begawanfoundation.org,http://www.begawanfoundation.org,NA,https://www.facebook.com/BegawanFoundation,https://plus.google.com/+117133560197850077943/about?hl=en,NA,"To create an environment that is beneficial to the needs of local communities, especially their children.","To provide affordable essential services – especially in healthcare and education – and create awareness of environmental protection and conservation, ultimately to stimulate the development of self-sustainability among local communities.",1989,Indonesia
21,IDEP Foundation,https://www.bali.com/charity_Gianyar_IDEP-Foundation_2705.html,"Balinese People, Health, General Wellbeing",80582 Sukawati (Dauh Uma),+62 361 294993,NA,info@idepfoundation.org,http://www.idepfoundation.org,NA,https://www.facebook.com/idepfoundation,NA,NA,To sustain development through permaculture and community-based disaster management,"Community empowerment - 'Help people help themselves' through the provision of relevant information, demonstrations and training. Community resilience - Assist communities that are vulnerable to disaster to develop resilience in a sustainable way. Disaster relief - Support communities that have been struck by disasters to attain safety and empower them through the recovery process",NA,Indonesia
22,Yayasan Senyum Bali,https://www.bali.com/charity_Denpasar_Yayasan-Senyum-Bali_2701.html,NA,Jl. Pulau Aru 9 Bali,+62 361 233 758,NA,info@senyumbali.org,http://www.senyumbali.org,NA,https://www.facebook.com/pages/Yayasan-Senyum-Bali-The-Smile-Foundation-of-Bali,NA,NA,To bring health care for craniofacial disabilities,NA,NA,Indonesia
23,Yayasan Kemanusiaan Indonesia,https://www.bali.com/charity_Sanur_Yayasan-Kemanusiaan-Indonesia_2700.html,NA,Jl. Pengembak  16 Bali,+62 361 270812,NA,yki@indo.net.id,http://www.balieye.org,NA,https://www.facebook.com/JFFYKI,NA,NA,"To assist people in lower socio-economic, particularly those with medical problems",NA,NA,Indonesia
24,Yayasan GUS,https://www.bali.com/charity_Kuta_Yayasan-GUS_2698.html,NA,Jl. Legian 138 Bali,+62 361 7593232,NA,info@gus-bali.org,http://www.gus-bali.org,NA,https://www.facebook.com/yayasan.gus,NA,NA,Dedicated to improve Bali's environment,NA,NA,Indonesia
25,BIWA (Bali International Women's Association),https://www.bali.com/charity_Kuta_BIWA-Bali-International-Women-s-Association-_2697.html,Women & Women's Rights,Beachwalk Mall Level 3 Bali,+62 361 7469607,NA,NA,NA,NA,https://www.facebook.com/groups/Biwaku/,NA,NA,Non-profit organisation devoted primarily to the welfare of women and children in Bali.,NA,NA,Indonesia
26,Yayasan Kemanusiaan Ibu Pertiwi,https://www.bali.com/charity_Tuban_Yayasan-Kemanusiaan-Ibu-Pertiwi_2696.html,"Children, Health, Education & Schools","80361 Kuta, Bali",+62 361 761208,NA,info@ykip.org,http://www.ykip.org,NA,https://www.facebook.com/YKIPBali,NA,NA,YKIP (Yayasan Kemanusiaan Ibu Pertiwi) or the Humanitarian Foundation for Mother Earth is dedicated to improve the lives of marginalized communities in Bali through comprehensive education opportunity,Our mission is to restore vision. Our vision is to restore dignity. Our method is to create miracles. Our Programs  Sight Restoration & Blindness Prevention Children's Corrective Surgery Education Assistance Assistance to Desperately Ill Children and Young People Prosthetic Eyes,NA,Indonesia
27,The Bali Wise,https://www.bali.com/charity_Nusa-Dua_The-Bali-Wise_2695.html,Women & Women's Rights,Jl. Siligita 22 Bali,+62 361 8078850,NA,mike@rolefoundation.org,http://www.baliwise.org,NA,https://www.facebook.com/baliwisebyrole,NA,NA,"Under ROLE Foundation, provides educations to empower women from economically disadvantaged background",Bali WISE believes that a better education for women will contribute to women’s empowerment and poverty reduction. To address this problem Bali WISE seeks to educate and train women from deprived areas in the local communities with the skills they need ,NA,Indonesia
28,Yayasan Bali Hati,https://www.bali.com/charity_Ubud_Yayasan-Bali-Hati_2694.html,"Balinese People, Education & Schools, General Wellbeing",80513 Gianyar,+62 361 977576,NA,info@balihati.com,http://www.balihati.org,NA,https://www.facebook.com/pages/Bali-Hati-Foundation,NA,NA,To promote the education and social welfare of the people in Bali.,"To improve the quality of the island’s human resources through implementing formal and informal educational programs; and to provide scholarships to capable students who could not otherwise afford the costs of education. - To improve the level and quality of the island’s public health through various well-focused, effective community-based health programs - To raise the community’s awareness of various prevailing social, economic, and health problems and heighten community participation.",NA,Indonesia
29,Yayasan Reef Check Indonesia,https://www.bali.com/charity_Denpasar_Yayasan-Reef-Check-Indonesia_2692.html,"Environment & Nature Conservation, Oceans & Marine Life",80226 Renon,+62 361 3071358,NA,rcindonesia@reefcheck.org,http://www.reefcheck.org/,https://twitter.com/ReefCheckIndo,https://www.facebook.com/reefcheckindonesia,NA,NA,Working Together For Better Reefs and The Future,"Our foundation was developed and are growing with support from our partners and stakeholders. We invite everybody to contribute more and more for our reefs, our coastal, our ocean, our planet, our only blue planet.",NA,Indonesia
